,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
113,13_krt,2218,95,0,False,True,False,0.5,0.04283137962128043,inf,inf,False
114,kelebek_mela,1798,595,16,False,False,False,0.9166666666666666,0.3309232480533927,37.1875,112.375,False
115,photography_color_of_the_day,139,482,51,False,False,False,0.8571428571428571,3.467625899280576,9.450980392156863,2.7254901960784315,False
116,refaah_alwafi,18400,108,60,False,False,False,0.9230769230769232,0.005869565217391304,1.8,306.6666666666667,False
117,6qdn,19500,122,10,False,True,False,0.75,0.006256410256410256,12.2,1950.0,False
118,llm67jkj,369,88,2,True,True,False,0.75,0.23848238482384826,44.0,184.5,False
119,gffog,5857,375,12,False,False,False,1.0,0.0640259518524842,31.25,488.08333333333326,False
120,ameeenali78,10,184,0,False,True,True,0.8181818181818182,18.4,inf,inf,True
121,ss6ud,3833,74,36,False,True,False,0.8,0.019306026611009653,2.055555555555556,106.47222222222223,False
122,r0_5.y,6086,3358,5,False,True,False,0.3333333333333333,0.5517581334209661,671.6,1217.2,False
123,mohameedatiaa213,674,108,14,False,True,True,0.8125,0.16023738872403562,7.7142857142857135,48.14285714285714,False
124,sayf.ch,746,609,18,False,False,False,0.8571428571428571,0.8163538873994638,33.833333333333336,41.444444444444436,False
125,eslamezzat.7,8126,65,79,False,True,True,0.8333333333333334,0.007999015505783904,0.8227848101265823,102.86075949367088,False
126,saifalnatour,542,623,22,False,False,False,1.0,1.1494464944649447,28.318181818181817,24.63636363636364,False
127,myhobbies_r,133,45,33,False,False,False,0.9090909090909092,0.3383458646616541,1.3636363636363635,4.03030303030303,False
128,hashmigood,4693,222,1066,True,False,False,1.0,0.04730449605795866,0.20825515947467169,4.402439024390244,False
129,rh.m5,49,86,0,True,True,True,0.6,1.7551020408163265,inf,inf,True
130,1rk.f,475,871,5,False,True,False,0.6,1.833684210526316,174.2,95.0,True
131,mario.moris.73,292,288,3,False,True,True,0.7142857142857143,0.9863013698630136,96.0,97.33333333333331,False
132,mnoo.lh,1040,570,24,False,False,False,0.8571428571428571,0.5480769230769231,23.75,43.33333333333334,False
133,9ic.2,5054,525,125,False,True,True,0.4,0.1038781163434903,4.2,40.431999999999995,False
134,abelrhmanouf,318,257,13,False,False,False,1.0,0.8081761006289309,19.76923076923077,24.461538461538463,False
135,salh7199,797,513,26,False,True,True,0.5,0.64366373902133,19.73076923076923,30.653846153846153,False
